metabolite_id,metabolite_name,metabolite_no_compartment,compartment
CE5153_c,3(S)-hydroxy-13cis-docosenoyl-CoA,CE5153,c
galside_hs_e,Galactocerebroside (homo sapiens),galside,e
CE5154_c,"Trans,cis-2,13-docosadienoyl-CoA",CE5154,c
CE5157_c,3(S)-hydroxy-cis-15-tetracosaenoyl-CoA,CE5157,c
CE4853_c,"Trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA",CE4853,c
CE4855_c,"All-cis-12,15,18,21-tetracosatetraenoyl-CoA",CE4855,c
crm_hs_e,Ceramide (homo sapiens),crm,e
CE4851_c,"3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA",CE4851,c
CE5158_c,"Trans,cis-2,15-tetracosadienoyl-CoA",CE5158,c
udpgal_n,UDPgalactose,udpgal,n
nrvnccoa_r,Nervonyl coenzyme A,nrvnccoa,r
CE4801_m,"3(S)-Hydroxy-4(R),8-Dimethyl-Nonanoyl Coenzyme A",CE4801,m
galside_hs_n,Galactocerebroside (homo sapiens),galside,n
CE4803_m,"3-Oxo-4(R),8-Dimethyl-Nonanoyl Coenzyme A",CE4803,m
CE4800_m,"3(S)-Hydroxy-2(S),6-Dimethyl-Heptanoyl Coenzyme A",CE4800,m
CE2510_c,11-cis-eicosenoate,CE2510,c
doco13ac_c,13Z)-13-docosenoic acid,doco13ac,c
crm_hs_n,Ceramide (homo sapiens),crm,n
CE5160_c,3-oxo-cis-9-octadecenoyl-CoA,CE5160,c
CE4796_m,3-Oxo-(2S)-Methylisocapryloyl Coenzyme A,CE4796,m
udpgal_r,UDPgalactose,udpgal,r
CE4802_m,3(S)-Hydroxy-4-Methyl-Pentanoyl Coenzyme A,CE4802,m
CE5161_c,3(S)-hydroxy-cis-9-octadecenoyl-CoA,CE5161,c
galside_hs_r,Galactocerebroside (homo sapiens),galside,r
CE5162_c,"Trans,cis-2,9-octadecadienoyl-CoA",CE5162,c
CE7047_c,Gama-tocopheroxyl radical,CE7047,c
cholcoads_m,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA",cholcoads,m
CE4874_c,"5beta-cholestane-3alpha,7alpha,12alpha,27,27-pentaol",CE4874,c
CE6230_c,"15-hydroperoxyeicosa-8Z,11Z,13E-trienoate",CE6230,c
CE5986_c,5-nitro-gama-tocopherol,CE5986,c
CE2537_c,"15-hydroxy-(8Z,11Z,13E)-eicosatrienoate",CE2537,c
CE4874_m,"5beta-cholestane-3alpha,7alpha,12alpha,27,27-pentaol",CE4874,m
CE6232_c,Prostaglandin G1,CE6232,c
C01747_l,Psychosine(1+); Galactosylsphingosine,C01747,l
CE6234_c,Prostaglandin H1,CE6234,c
C14826_c,12(13)-EpOME,C14826,c
CE2049_c,"12,13-hydroxyoctadec-9(Z)-enoate",CE2049,c
C01747_c,Psychosine(1+); Galactosylsphingosine,C01747,c
C14825_c,9(10)-EpOME,C14825,c
CE5947_m,"20-COOH-10,11-dihydro-LTB4",CE5947,m
CE5125_x,(2S)-Pristanoyl Coenzyme A,CE5125,x
CE5947_x,"20-COOH-10,11-dihydro-LTB4",CE5947,x
CE2047_c,"9,10-hydroxyoctadec-12(Z)-enoate",CE2047,c
CE5126_x,(2R)-pristanoyl-CoA,CE5126,x
cdpea_e,CDPethanolamine C11H19N4O11P2,cdpea,e
dec24dicoa_m,"2,4-Decadienoyl Coenzyme A",dec24dicoa,m
alltn_c,Allantoin,alltn,c
dece3coa_m,3-Decenoyl Coenzyme A,dece3coa,m
12dgr120_e,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",12dgr120,e
C14768_c,"5,6-EET",C14768,c
CE2089_c,S-[2-carboxy-1-(1 H-imidazol-4-yl)ethyl]-L-cysteine,CE2089,c
CE0074_c,Alloxan,CE0074,c
CE2088_c,N-acetyl-S-[2-carboxy-1-(1 H-imidazol-4-yl)ethyl]-L-cysteine,CE2088,c
C14770_c,"11,12-EET",C14770,c
CE0074_e,Alloxan,CE0074,e
C14769_c,"8,9-EET",C14769,c
urcan_c,Urocanate C6H5N2O2,urcan,c
hdcea_m,Hexadecenoate (n-C16:1),hdcea,m
C05767_c,Uroporphyrin I,C05767,c
C14771_c,"14,15-EET",C14771,c
CE2445_c,6-trans-leukotriene B4,CE2445,c
2mb2coa_c,Trans-2-Methylbut-2-enoyl-CoA,2mb2coa,c
CE0955_r,6-oxo-prostaglandin F1alpha,CE0955,r
CE5178_c,5-oxo-6-trans-leukotriene B4,CE5178,c
pail35p_hs_n,"Phosphatidylinositol-3,5-bisphosphate (Homo sapiens)",pail35p,n
C11821_c,5-Hydroxyisourate,C11821,c
3hbcoa__R_c,(R)-3-Hydroxybutyryl-CoA,3hbcoa,c
adpac_c,"Adipic acid; hexane-1,6-dioic acid",adpac,c
CE4795_m,"2-Trans-Cis,Cis,Cis,Cis-4,8,11,14-Eicosapentaenoyl Coenzyme A",CE4795,m
adpcoa_c,Adipoyl-CoA; 5-Carboxypentanoyl-CoA,adpcoa,c
dmpp_c,Dimethylallyl diphosphate,dmpp,c
CE1925_e,3-carboxy-alpha-chromanol,CE1925,e
CE4795_x,"2-Trans-Cis,Cis,Cis,Cis-4,8,11,14-Eicosapentaenoyl Coenzyme A",CE4795,x
adpac_x,"Adipic acid; hexane-1,6-dioic acid",adpac,x
CE5114_x,"Trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA",CE5114,x
adpcoa_x,Adipoyl-CoA; 5-Carboxypentanoyl-CoA,adpcoa,x
CE5853_e,Alpha-CEHC-glucuronide,CE5853,e
CE4791_x,3(S)-Hydroxy-Dihomo-Gama-Linolenoyl Coenzyme A,CE4791,x
C04717_c,13(S)-HPODE(1-),C04717,c
c6dc_x,Adipoyl carnitine; 5-Carboxypentanoyl carnitine,c6dc,x
CE4793_x,3-oxo-dihomo-gama-linolenoyl-CoA,CE4793,x
3bcrn_c,3-hydroxy butyryl carnitine,3bcrn,c
3bcrn_e,3-hydroxy butyryl carnitine,3bcrn,e
c10crn_c,Decanoyl Carnitine,c10crn,c
C01601_c,Nonanoate,C01601,c
CE6504_c,"1-hydroperoxy-8-carboxyoctyl 3,4-epoxynon-(2E)-enyl ether",CE6504,c
CE2006_c,4-hydroxy-2-nonenal,CE2006,c
CE2439_x,"3-Oxo-6Z,9Z,12Z-Octadecatrienoyl Coenzyme A",CE2439,x
CE6506_c,"3,4-epoxynonanal",CE6506,c
c101coa_c,Decenoyl Coenzyme A,c101coa,c
c101crn_c,Decenoyl Carnitine,c101crn,c
C08261_c,Azelaic acid; nonanedioic acid,C08261,c
CE2440_x,"4Z,7Z,10Z-Hexadecatrienoyl Coenzyme A",CE2440,x
CE4876_r,Delta12-Prostaglandin J2,CE4876,r
c101crn_e,Decenoyl Carnitine,c101crn,e
c6crn_e,Hexanoyl Carnitine,c6crn,e
decdicoa_c,Decadienoyl Coenzyme A,decdicoa,c
decdicrn_c,Decadienoyl Carnitine,decdicrn,c
c10crn_e,Decanoyl Carnitine,c10crn,e
c10dc_x,Sebacoyl carnitine; decanedioyl carnitin,c10dc,x
CE5304_c,15-deoxy-PGD2,CE5304,c
CE4876_c,Delta12-Prostaglandin J2,CE4876,c
CE5944_c,"10,11-dihydro-12-oxo-LTB4",CE5944,c
CE5944_m,"10,11-dihydro-12-oxo-LTB4",CE5944,m
c6dc_c,Adipoyl carnitine; 5-Carboxypentanoyl carnitine,c6dc,c
CE5944_x,"10,11-dihydro-12-oxo-LTB4",CE5944,x
c10dc_c,Sebacoyl carnitine; decanedioyl carnitin,c10dc,c
c6dc_e,Adipoyl carnitine; 5-Carboxypentanoyl carnitine,c6dc,e
sebcoa_c,Sebacoyl Coenzyme A,sebcoa,c
CE4987_c,"10,11-dihydro-leukotriene B4",CE4987,c
CE4988_c,"10,11-dihydro-12-epi-leukotriene B4",CE4988,c
c81coa_c,Octenoyl Coenzyme A,c81coa,c
CE4988_m,"10,11-dihydro-12-epi-leukotriene B4",CE4988,m
c10dc_e,Sebacoyl carnitine; decanedioyl carnitin,c10dc,e
c81crn_c,Octenoyl Carnitine,c81crn,c
3hdcoa_c,(S)-3-Hydroxydecanoyl-CoA,3hdcoa,c
CE4988_x,"10,11-dihydro-12-epi-leukotriene B4",CE4988,x
CE4989_c,"20-OH-10,11-dihydro-leukotriene B4",CE4989,c
3deccrn_c,3-hydroxydecanoylcarnitine,3deccrn,c
c81crn_e,Octenoyl Carnitine,c81crn,e
ddeccrn_c,Lauroyl Carnitine,ddeccrn,c
CE5945_c,"10,11-dihydro-20-dihydroxy-LTB4",CE5945,c
c8crn_e,Octanoyl carnitine,c8crn,e
CE5946_c,"10,11-dihydro-20-trihydroxy-leukotriene B4",CE5946,c
dd2coa_c,Trans-Dodec-2-enoyl-CoA,dd2coa,c
sbcoa_c,Suberyl-CoA; octadioyl-CoA,sbcoa,c
ddece1crn_c,Dodecenoyl Carnitine,ddece1crn,c
CE5947_c,"20-COOH-10,11-dihydro-LTB4",CE5947,c
c8dc_c,Suberyl carnitine; octanedioyl carnitine,c8dc,c
CE7097_c,"5-oxo-12(S)-hydroxy-eicosa-6E,8Z,10E,14Z-tetraenoate",CE7097,c
CE7097_m,"5-oxo-12(S)-hydroxy-eicosa-6E,8Z,10E,14Z-tetraenoate",CE7097,m
c12dccoa_x,Dodecanedioyl Coenzyme A,c12dccoa,x
dodecanac_x,Dodecanedioic Acid,dodecanac,x
c8dc_e,Suberyl carnitine; octanedioyl carnitine,c8dc,e
c12dccoa_c,Dodecanedioyl Coenzyme A,c12dccoa,c
C04805_c,5(S)-HETE,C04805,c
dca_r,Decanoate (n-C10:0),dca,r
C04805_r,5(S)-HETE,C04805,r
dodecanac_c,Dodecanedioic Acid,dodecanac,c
3ddcrn_e,3-hydroxydodecanoylcarnitine,3ddcrn,e
c12dc_c,Dodecanedioyl Carnitine,c12dc,c
CE7096_c,"5,15-DiHETE",CE7096,c
CE2084_c,"5-oxo-(6E,8Z,11Z,14Z)-eicosatetraenoic acid",CE2084,c
c12dc_e,Dodecanedioyl Carnitine,c12dc,e
ddeccrn_e,Lauroyl Carnitine,ddeccrn,e
3hddcoa_c,(S)-3-Hydroxydodecanoyl-CoA,3hddcoa,c
C04805_m,5(S)-HETE,C04805,m
ddece1crn_e,Dodecenoyl Carnitine,ddece1crn,e
CE2084_m,"5-oxo-(6E,8Z,11Z,14Z)-eicosatetraenoic acid",CE2084,m
3ddcrn_c,3-hydroxydodecanoylcarnitine,3ddcrn,c
3deccrn_e,3-hydroxydecanoylcarnitine,3deccrn,e
3tetd7ecoa_m,3-Hydroxy Tetradecenoyl-7 Coenzyme A,3tetd7ecoa,m
CE6508_c,5-hydroperoxy-EPA,CE6508,c
CE7079_c,Leukotriene A5,CE7079,c
decdicrn_e,Decadienoyl Carnitine,decdicrn,e
CE7091_c,15(R)-hydroperoxy-EPE,CE7091,c
3tetd7ecoa_c,3-Hydroxy Tetradecenoyl-7 Coenzyme A,3tetd7ecoa,c
tetdece1coa_c,Tetradecenoyl-CoA;(2E)-Tetradecenoyl-CoA,tetdece1coa,c
doco13ecoa_c,13-Docosenoyl Coenzyme A,doco13ecoa,c
tetdece1crn_c,Tetradecenoyl Carnitine,tetdece1crn,c
CE7091_r,15(R)-hydroperoxy-EPE,CE7091,r
CE7082_c,15(S)-HEPE,CE7082,c
doco13ecoa_x,13-Docosenoyl Coenzyme A,doco13ecoa,x
CE7083_c,Leukotriene B5,CE7083,c
3tetd7ecoacrn_c,3-Hydroxy Tetradecenoyl-7-Carnitine,3tetd7ecoacrn,c
doco13ac_e,13Z)-13-docosenoic acid,doco13ac,e
3tetd7ecoacrn_e,3-Hydroxy Tetradecenoyl-7-Carnitine,3tetd7ecoacrn,e
CE7085_c,5-HEPE; 5-hydroxyeicosapentaenoate,CE7085,c
docosac_e,"Behenate, Docosanoate",docosac,e
CE7088_c,PGH3,CE7088,c
3ttetddcoa_m,"3-Hydroxy Trans5,8Tetradecadienoyl Coenzyme A",3ttetddcoa,m
3ttetddcoa_c,"3-Hydroxy Trans5,8Tetradecadienoyl Coenzyme A",3ttetddcoa,c
CE7081_r,15(R)-HEPE,CE7081,r
docosac_r,"Behenate, Docosanoate",docosac,r
CE7090_c,18R-HEPE,CE7090,c
tetdec2coa_c,Tetradecadienoyl Coenzyme A,tetdec2coa,c
docosdiac_r,Docosanedioicacid,docosdiac,r
tetdec2crn_c,Tetradecadienoyl Carnitine,tetdec2crn,c
3ttetddcoacrn_c,"3-Hydroxy Trans5,8Tetradecadienoyl Carnitine",3ttetddcoacrn,c
3ttetddcoacrn_e,"3-Hydroxy Trans5,8Tetradecadienoyl Carnitine",3ttetddcoacrn,e
CE0347_c,12-hydroxyeicosatetraenoate,CE0347,c
CE0347_r,12-hydroxyeicosatetraenoate,CE0347,r
docosdiac_c,Docosanedioicacid,docosdiac,c
CE6247_c,"5,12,20-TriHETE",CE6247,c
12HPET_e,"12-Hydroperoxyeicosa-5,8,10,14-tetraenoate",12HPET,e
3htdcoa_c,(S)-3-Hydroxytetradecanoyl-CoA,3htdcoa,c
docosdiac_e,Docosanedioicacid,docosdiac,e
3tdcrn_c,3-hydroxy-tetradecanoyl carnitine,3tdcrn,c
C04849_e,"(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoate",C04849,e
3hdececrn_e,3-Hydroxyhexadecenoylcarnitine,3hdececrn,e
leuktrB4wcooh_x,W-carboxy leukotriene B4,leuktrB4wcooh,x
3hdeccoa_c,3-Hydroxyhexadecenoyl Coenzyme A,3hdeccoa,c
3hexdcrn_e,3-hydroxyhexadecanoylcarnitine,3hexdcrn,e
3hdececrn_c,3-Hydroxyhexadecenoylcarnitine,3hdececrn,c
3thexddcoa_m,"3-Hydroxy Trans7,10-Hexadecadienoyl Coenzyme A",3thexddcoa,m
3hexdcoa_m,3-hydroxyhexadecanoylcoa,3hexdcoa,m
3ivcrn_e,3-Hydroxy-Isovaleryl Carnitine,3ivcrn,e
3thexddcoa_c,"3-Hydroxy Trans7,10-Hexadecadienoyl Coenzyme A",3thexddcoa,c
3octdec2crn_e,3-Hydroxyoctadecadienoylcarnitine,3octdec2crn,e
3thexddcoacrn_c,"3-Hydroxy Trans7,10-Hexadecadienoyl Carnitine",3thexddcoacrn,c
hexdicoa_x,Hexadecanedioyl Coenzyme A,hexdicoa,x
3octdeccrn_e,3-Hydroxyoctadecanoyl Carnitine,3octdeccrn,e
hexdicoa_r,Hexadecanedioyl Coenzyme A,hexdicoa,r
3thexddcoacrn_e,"3-Hydroxy Trans7,10-Hexadecadienoyl Carnitine",3thexddcoacrn,e
3octdece1crn_e,3-Hydroxy-Octadecenoyl Carnitine,3octdece1crn,e
hexdicoa_c,Hexadecanedioyl Coenzyme A,hexdicoa,c
3tdcrn_e,3-hydroxy-tetradecanoyl carnitine,3tdcrn,e
c16dc_c,Hexadecanedioic Acid Mono-L-Carnitine Ester,c16dc,c
hexdiac_r,Hexadecanediocacid,hexdiac,r
c51crn_e,Tiglyl carnitine; (E)-2-methylbut-2-enoyl carnitin,c51crn,e
whhdca_r,Omega hydroxy hexadecanoate (n-C16:0),whhdca,r
ocde9ecoa_x,9-Octadecenoyl Coenzyme A,ocde9ecoa,x
c16dc_e,Hexadecanedioic Acid Mono-L-Carnitine Ester,c16dc,e
3hexdcoa_c,3-hydroxyhexadecanoylcoa,3hexdcoa,c
ivcrn_e,Isovaleryl carnitine,ivcrn,e
3hexdcrn_c,3-hydroxyhexadecanoylcarnitine,3hexdcrn,c
3octdece1coa_m,3-Hydroxyoctadecenoyl Coenzyme A,3octdece1coa,m
tetdec2crn_e,Tetradecadienoyl Carnitine,tetdec2crn,e
octdececoa_m,Octadecenoyl Coenzyme A,octdececoa,m
3octdece1coa_c,3-Hydroxyoctadecenoyl Coenzyme A,3octdece1coa,c
tetdece1crn_e,Tetradecenoyl Carnitine,tetdece1crn,e
3octdece1crn_c,3-Hydroxy-Octadecenoyl Carnitine,3octdece1crn,c
3ocddcoa_m,3-Hydroxyoctadecadienoyl Coenzyme A,3ocddcoa,m
dece3coa_x,3-Decenoyl Coenzyme A,dece3coa,x
2octdectecoa_m,"2,6,9,12-Octadecatetraenoyl Coenzyme A",2octdectecoa,m
3ocddcoa_c,3-Hydroxyoctadecadienoyl Coenzyme A,3ocddcoa,c
3octdec2crn_c,3-Hydroxyoctadecadienoylcarnitine,3octdec2crn,c
2octdectecoa_x,"2,6,9,12-Octadecatetraenoyl Coenzyme A",2octdectecoa,x
dec47dicoa_m,"4,7-Decadienoyl Coenzyme A",dec47dicoa,m
3octdectecoa_m,"3,6,9,12-Octadecatetraenoyl Coenzyme A",3octdectecoa,m
3hodcoa_c,(S)-3-Hydroxyoctadecanoyl-CoA,3hodcoa,c
dectricoa_m,"2,4,7-Decatrienoyl Coenzyme A",dectricoa,m
3octdeccrn_c,3-Hydroxyoctadecanoyl Carnitine,3octdeccrn,c
3octdectecoa_x,"3,6,9,12-Octadecatetraenoyl Coenzyme A",3octdectecoa,x
dec47dicoa_x,"4,7-Decadienoyl Coenzyme A",dec47dicoa,x
2octpencoa_m,"2,6,9,12,15-Octadecapentenoyl Coenzyme A",2octpencoa,m
c3dc_c,Malonyl Carnitine,c3dc,c
dectricoa_x,"2,4,7-Decatrienoyl Coenzyme A",dectricoa,x
c3dc_e,Malonyl Carnitine,c3dc,e
3octpencoa_m,"3,6,9,12,15-Octadecapentenoyl Coenzyme A",3octpencoa,m
2decdicoa_m,"2,7-Decadienoyl Coenzyme A",2decdicoa,m
3hodcoa_m,(S)-3-Hydroxyoctadecanoyl-CoA,3hodcoa,m
c4crn_e,Butyryl carnitine,c4crn,e
c4dc_x,Succinyl carnitine,c4dc,x
octe5coa_m,5-Octenoyl Coenzyme A,octe5coa,m
c4dc_c,Succinyl carnitine,c4dc,c
ei11ecoa_x,11-Eicosenoyl Coenzyme A,ei11ecoa,x
2decdicoa_x,"2,7-Decadienoyl Coenzyme A",2decdicoa,x
eitetcoa_m,"5,8,11,14-Eicosatetraenoyl Coenzyme A",eitetcoa,m
c4dc_e,Succinyl carnitine,c4dc,e
octe5coa_x,5-Octenoyl Coenzyme A,octe5coa,x
c4crn_x,Butyryl carnitine,c4crn,x
eitetcoa_x,"5,8,11,14-Eicosatetraenoyl Coenzyme A",eitetcoa,x
3decdicoa_m,"3,7-Decadienoyl Coenzyme A",3decdicoa,m
eipencoa_x,"2,5,8,11,14-Eicosapentaenoyl Coenzyme A",eipencoa,x
5eipencoa_m,"5,8,11,14,17-Eicosapentenoyl Coenzyme A",5eipencoa,m
btcoa_x,Butanoyl-CoA,btcoa,x
3decdicoa_x,"3,7-Decadienoyl Coenzyme A",3decdicoa,x
ivcoa_c,Isovaleryl-CoA,ivcoa,c
2docopencoa_m,"2,7,10,13,16-Docosapentenoyl Coenzyme A",2docopencoa,m
sebcoa_x,Sebacoyl Coenzyme A,sebcoa,x
2docopencoa_x,"2,7,10,13,16-Docosapentenoyl Coenzyme A",2docopencoa,x
ivcrn_c,Isovaleryl carnitine,ivcrn,c
sbcoa_x,Suberyl-CoA; octadioyl-CoA,sbcoa,x
c51crn_c,Tiglyl carnitine; (E)-2-methylbut-2-enoyl carnitin,c51crn,c
c5dc_c,Glutaryl Carnitine,c5dc,c
c5dc_e,Glutaryl Carnitine,c5dc,e
docohexcoa_m,"2,4,7,10,13,16-Docosahexenoyl Coenzyme A",docohexcoa,m
docohexcoa_x,"2,4,7,10,13,16-Docosahexenoyl Coenzyme A",docohexcoa,x
3docopencoa_m,"3,7,10,13,16-Docosapentenoyl Coenzyme A",3docopencoa,m
3docopencoa_x,"3,7,10,13,16-Docosapentenoyl Coenzyme A",3docopencoa,x
hxcoa_c,Hexanoyl-CoA (n-C6:0CoA),hxcoa,c
tmuncoa_x,"2,6,10-Trimethyl Undecanoyl Coenzyme A",tmuncoa,x
c6crn_c,Hexanoyl Carnitine,c6crn,c
2docohexecoa_m,"2,7,10,13,16,19-Docosahexenoyl Coenzyme A",2docohexecoa,m
undcoa_m,Undecanoyl Coenzyme A,undcoa,m
docohepcoa_m,"2,4,7,10,13,16,19-Docosaheptenoyl Coenzyme A",docohepcoa,m
docosahexcoa_m,"3,7,10,13,16,19-Docosahexenoyl Coenzyme A",docosahexcoa,m
hxcoa_x,Hexanoyl-CoA (n-C6:0CoA),hxcoa,x
c6crn_x,Hexanoyl Carnitine,c6crn,x
noncoa_m,Nonanoyl Coenzyme A,noncoa,m
omhdocosac_r,W-Hydroxydocosanoicacid,omhdocosac,r
dd5ecoa_m,5-Dodecenoyl Coenzyme A,dd5ecoa,m
succoa_c,Succinyl-CoA,succoa,c
progly_c,L-Prolinylglycine,progly,c
dd3coa_x,3-dodecenoyl CoA,dd3coa,x
psyl_e,Psyllium,psyl,e
pentcoa_m,Pentanoyl Coenzyme A,pentcoa,m
2ddecdicoa_m,"2,6-Dodecadienoyl Coenzyme A",2ddecdicoa,m
glutcoa_c,Glutaryl-CoA mitochondria,glutcoa,c
psylchol_e,Psillium-glycocholic acid complex,psylchol,e
psyltchol_e,Psyllium-taurocholic acid complex,psyltchol,e
3ddecdicoa_m,"3,6-Dodecadienoyl Coenzyme A",3ddecdicoa,m
psyltdechol_e,Psyllium-taurodeoxycholic acid complex,psyltdechol,e
3ivcoa_m,3-Hydroxyisovaleryl Coenzyme A,3ivcoa,m
3ivcrn_c,3-Hydroxy-Isovaleryl Carnitine,3ivcrn,c
2ddecdicoa_x,"2,6-Dodecadienoyl Coenzyme A",2ddecdicoa,x
3ivcoa_c,3-Hydroxyisovaleryl Coenzyme A,3ivcoa,c
sbt__D_e,D-Sorbitol,sbt,e
3ddecdicoa_x,"3,6-Dodecadienoyl Coenzyme A",3ddecdicoa,x
thm_e,Thiamin,thm,e
2dodtricoa_m,"2,6,9-Dodecatrienoyl Coenzyme A",2dodtricoa,m
1a25dhvitd3_c,"1-alpha,25-Dihydroxyvitamin D3",1a25dhvitd3,c
hx2coa_x,Trans-Hex-2-enoyl-CoA,hx2coa,x
hexe3coa_m,3-Hexenoyl Coenzyme A,hexe3coa,m
1a25dhvitd3_n,"1-alpha,25-Dihydroxyvitamin D3",1a25dhvitd3,n
2dodtricoa_x,"2,6,9-Dodecatrienoyl Coenzyme A",2dodtricoa,x
4abut_n,4-Aminobutanoate,4abut,n
hexe3coa_x,3-Hexenoyl Coenzyme A,hexe3coa,x
3dodtricoa_m,"3,6,9-Dodecatrienoyl Coenzyme A",3dodtricoa,m
succoa_x,Succinyl-CoA,succoa,x
oh1_c,Hydroxide ion HO,oh1,c
3dodtricoa_x,"3,6,9-Dodecatrienoyl Coenzyme A",3dodtricoa,x
oh1_e,Hydroxide ion HO,oh1,e
hepcoa_m,Heptanoyl Coenzyme A,hepcoa,m
c12dc_x,Dodecanedioyl Carnitine,c12dc,x
omhdecacid_r,W-hydroxydecanoicacid,omhdecacid,r
hyptaur_e,Hypotaurine; 2-Aminoethanesulfinic acid,hyptaur,e
tridcoa_m,Tridecanoyl Coenzyme A,tridcoa,m
cysam_e,Cysteamine C2H8NS,cysam,e
hexdiac_c,Hexadecanediocacid,hexdiac,c
tetd7ecoa_m,7-Tetradecenoyl Coenzyme A,tetd7ecoa,m
omhdocosac_c,W-Hydroxydocosanoicacid,omhdocosac,c
q10_e,Ubiquinone-10,q10,e
omhdecacid_c,W-hydroxydecanoicacid,omhdecacid,c
dhap_m,Dihydroxyacetone phosphate,dhap,m
tetde5coa_x,5-Tetradecenoyl Coenzyme A,tetde5coa,x
dpcoa_e,Dephospho-CoA,dpcoa,e
sebacid_c,Sebacicacid,sebacid,c
tetdecdicoa_m,"5,8-Tetradecadienoyl Coenzyme A",tetdecdicoa,m
tdec4ecoa_m,Trans4Decenoyl Coenzyme A,tdec4ecoa,m
pan4p_e,Pantetheine 4-phosphate,pan4p,e
tetdecdicoa_x,"5,8-Tetradecadienoyl Coenzyme A",tetdecdicoa,x
5dpmev_c, R  5 Diphosphomevalonate C6H10O10P2,5dpmev,c
ctdecdcoa_m,Cis2Trans4Decadienoyl Coenzyme A,ctdecdcoa,m
ttetddcoa_m,"Trans5,8Tetradecadienoyl Coenzyme A",ttetddcoa,m
tddedi2coa_m,"Trans2,6Dodecadienoyl Coenzyme A",tddedi2coa,m
slfcys_e,S-Sulfo-L-cysteine,slfcys,e
5tedtricoa_m,"5,8,11-Tetradecatrienoyl Coenzyme A",5tedtricoa,m
fmn_e,FMN C17H19N4O9P,fmn,e
ptth_e,Pantetheine,ptth,e
tddedicoa_m,"Trans3,6Dodecadienoyl Coenzyme A",tddedicoa,m
5tedtricoa_x,"5,8,11-Tetradecatrienoyl Coenzyme A",5tedtricoa,x
ocdececrn_c,11-octadecenoyl carnitine,ocdececrn,c
ocdececrn_m,11-octadecenoyl carnitine,ocdececrn,m
q10h2_e,Ubiquinol-10,q10h2,e
c14dccoa_x,Tetradecanedioyl Coenzyme A,c14dccoa,x
fe3_c,Iron (Fe3+),fe3,c
octdececrn_c,"Octadecenoyl Carnitine (Hypothetical, Position Of Double Bond Unknown)",octdececrn,c
hexde7coa_x,7-Hexadecenoyl Coenzyme A,hexde7coa,x
octdececrn_m,"Octadecenoyl Carnitine (Hypothetical, Position Of Double Bond Unknown)",octdececrn,m
6pgl_c,"6-phospho-D-glucono-1,5-lactone",6pgl,c
3hdeccoa_m,3-Hydroxyhexadecenoyl Coenzyme A,3hdeccoa,m
glu5sa_c,L-Glutamate 5-semialdehyde,glu5sa,c
mal__L_x,L-Malate,mal,x
5pmev_c, R  5 Phosphomevalonate C6H10O7P,5pmev,c
octdececoa_c,Octadecenoyl Coenzyme A,octdececoa,c
subeac_x,Suberic acid,subeac,x
sebacid_x,Sebacicacid,sebacid,x
hexddcoa_m,"7,10-Hexadecadienoyl Coenzyme A",hexddcoa,m
subeac_c,Suberic acid,subeac,c
c8dc_x,Suberyl carnitine; octanedioyl carnitine,c8dc,x
1pyr5c_c,1-Pyrroline-5-carboxylate,1pyr5c,c
pheme_e,Protoheme C34H30FeN4O4,pheme,e
thexddcoa_m,"Trans7,10-Hexadecadienoyl Coenzyme A",thexddcoa,m
slfcys_c,S-Sulfo-L-cysteine,slfcys,c
ttdcrn_e,Tetradecanoyl carnitine,ttdcrn,e
2hexdtricoa_x,"2,7,10-Hexadecatrienoyl Coenzyme A",2hexdtricoa,x
4hpro_LT_e,Trans 4 Hydroxy L proline C5H9NO3,4hpro,e
34hpp_e,3-(4-Hydroxyphenyl)pyruvate,34hpp,e
hexdtrcoa_m,"7,10,13-Hexadecatrienoyl Coenzyme A",hexdtrcoa,m
3mob_e,3-Methyl-2-oxobutanoate,3mob,e
3mop_e,(S)-3-Methyl-2-oxopentanoate,3mop,e
alaala_c,D-Alanyl-D-alanine,alaala,c
alaala_e,D-Alanyl-D-alanine,alaala,e
4hexdtricoa_m,"4,7,10-Hexadecatrienoyl Coenzyme A",4hexdtricoa,m
bglc_e,Beta-glucans,bglc,e
4mop_e,4-Methyl-2-oxopentanoate,4mop,e
hexdectecoa_m,"2,4,7,10-Hexadecatetraenoyl Coenzyme A",hexdectecoa,m
5mta_e,5-Methylthioadenosine,5mta,e
glgchlo_e,Beta glucan-glycocholate complex,glgchlo,e
4hexdtricoa_x,"4,7,10-Hexadecatrienoyl Coenzyme A",4hexdtricoa,x
gltcho_e,Beta glucan-taurocholic acid complex,gltcho,e
5oxpro_e,5-Oxoproline,5oxpro,e
hexdectecoa_x,"2,4,7,10-Hexadecatetraenoyl Coenzyme A",hexdectecoa,x
ahcys_e,S-Adenosyl-L-homocysteine,ahcys,e
tdechola_e,Taurodeoxycholate,tdechola,e
2hexdtricoa_m,"2,7,10-Hexadecatrienoyl Coenzyme A",2hexdtricoa,m
